system_index,precipitation,geo,source_file
0,419.1232488873575,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.354317153401375,35.59574313323604]}",rr12.csv
1,419.1232488873575,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.39923291760735,35.59574313323604]}",rr12.csv
2,461.71820938279416,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.444148681813324,35.59574313323604]}",rr12.csv
3,463.9802629825536,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.4890644460193,35.59574313323604]}",rr12.csv
4,456.7839030502981,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.53398021022527,35.59574313323604]}",rr12.csv
5,489.7632301660056,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.578895974431255,35.59574313323604]}",rr12.csv
6,519.3900933414247,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.62381173863723,35.59574313323604]}",rr12.csv
7,555.8314196787944,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.668727502843204,35.59574313323604]}",rr12.csv
8,602.8851272692872,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.71364326704918,35.59574313323604]}",rr12.csv
9,563.7221659415618,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.75855903125516,35.59574313323604]}",rr12.csv
10,590.2212868260228,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.803474795461135,35.59574313323604]}",rr12.csv
11,590.2212868260228,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.84839055966711,35.59574313323604]}",rr12.csv
12,599.4897390167966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.893306323873084,35.59574313323604]}",rr12.csv
13,616.6073373409306,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.93822208807906,35.59574313323604]}",rr12.csv
14,652.6318517309954,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.98313785228504,35.59574313323604]}",rr12.csv
15,583.5730723667507,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.028053616491015,35.59574313323604]}",rr12.csv
16,611.1609292324436,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.07296938069699,35.59574313323604]}",rr12.csv
17,613.6256557604704,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.117885144902964,35.59574313323604]}",rr12.csv
18,641.4144301999495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.162800909108945,35.59574313323604]}",rr12.csv
19,675.4501868459301,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.20771667331492,35.59574313323604]}",rr12.csv
20,667.7395902837306,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.252632437520894,35.59574313323604]}",rr12.csv
21,667.7395902837306,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.29754820172687,35.59574313323604]}",rr12.csv
22,698.470060172714,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.34246396593284,35.59574313323604]}",rr12.csv
23,711.7146690203163,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.387379730138825,35.59574313323604]}",rr12.csv
24,745.9069940403384,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.4322954943448,35.59574313323604]}",rr12.csv
25,766.896600386961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.477211258550774,35.59574313323604]}",rr12.csv
26,757.9657029208911,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.52212702275675,35.59574313323604]}",rr12.csv
27,830.4128224496701,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.56704278696272,35.59574313323604]}",rr12.csv
28,785.6401317398355,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.611958551168705,35.59574313323604]}",rr12.csv
29,465.8785433181183,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.354317153401375,35.640658897442016]}",rr12.csv
30,465.8785433181183,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.39923291760735,35.640658897442016]}",rr12.csv
31,490.05638146059937,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.444148681813324,35.640658897442016]}",rr12.csv
32,497.57101734175376,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.4890644460193,35.640658897442016]}",rr12.csv
